Disease Name,Overview,Symptoms,URL
Atrial fibrillation,"Atrial fibrillation (AFib) is an irregular and often very rapid heart rhythm. An irregular heart rhythm is called an arrhythmia.AFibcan lead to blood clots in the heart. The condition also increases the risk of stroke, heart failure and other heart-related complications.
During atrial fibrillation, the heart's upper chambers — called the atria — beat chaotically and irregularly. They beat out of sync with the lower heart chambers, called the ventricles. For many people,AFibmay have no symptoms. ButAFibmay cause a fast, pounding heartbeat, shortness of breath or light-headedness.
Episodes of atrial fibrillation may come and go, or they may be persistent.AFibitself usually isn't life-threatening. But it's a serious medical condition that needs proper treatment to prevent stroke.
Treatment for atrial fibrillation may include medicines, therapy to shock the heart back to a regular rhythm and procedures to block faulty heart signals.
A person with atrial fibrillation also may have a related heart rhythm problem called atrial flutter. The treatments forAFiband atrial flutter are similar.","Symptoms ofAFibmay include: | Feelings of a fast, fluttering or pounding heartbeat, called palpitations. | Chest pain. | Dizziness. | Fatigue. | Lightheadedness. | Reduced ability to exercise. | Shortness of breath. | Weakness. | Some people with atrial fibrillation (AFib) don't notice any symptoms. | Atrial fibrillation may be: | Occasional, also called paroxysmal atrial fibrillation.AFibsymptoms come and go. The symptoms usually last for a few minutes to hours. Some people have symptoms for as long as a week. The episodes can happen repeatedly. Symptoms might go away on their own. Some people with occasionalAFibneed treatment. | Persistent.The irregular heartbeat is constant. The heart rhythm does not reset on its own. If symptoms occur, medical treatment is needed to correct the heart rhythm. | Long-standing persistent.This type ofAFibis constant and lasts longer than 12 months. Medicines or a procedure are needed to correct the irregular heartbeat. | Permanent.In this type of atrial fibrillation, the irregular heart rhythm can't be reset. Medicines are needed to control the heart rate and to prevent blood clots.",https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624
Abdominal aortic aneurysm,"An abdominal aortic aneurysm is an enlarged area in the lower part of the body's main artery, called the aorta. The aorta runs from the heart through the center of the chest and belly area, called the abdomen.
The aorta is the largest blood vessel in the body. An abdominal aortic aneurysm that ruptures can cause life-threatening bleeding.
Treatment depends on the size of the aneurysm and how fast it's growing. Treatment varies from regular health checkups and imaging tests to emergency surgery.","Abdominal aortic aneurysms often grow slowly without noticeable symptoms. This makes them difficult to detect. Some aneurysms never rupture. Many start small and stay small. Others grow larger over time, sometimes quickly. | If you have a growing abdominal aortic aneurysm, you might notice: | Deep, constant pain in the belly area or side of the belly. | Back pain. | A pulse near the bellybutton.",https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688
Hyperhidrosis,"Hyperhidrosis (hi-pur-hi-DROE-sis) is excessive sweating that's not always related to heat or exercise. You may sweat so much that it soaks through your clothes or drips off your hands. Heavy sweating can disrupt your day and cause social anxiety and embarrassment.
Hyperhidrosis treatment usually helps. It often begins with antiperspirants. If these don't help, you may need to try different medications and therapies. In severe cases, your health care provider may suggest surgery to remove the sweat glands or to disconnect the nerves related to producing too much sweat.
Sometimes an underlying condition may be found and treated.","The main symptom of hyperhidrosis is heavy sweating. This goes beyond the sweating from being in a hot environment, exercising, or feeling anxious or stressed. The type of hyperhidrosis that usually affects the hands, feet, underarms or face causes at least one episode a week when you're awake. And the sweating usually happens on both sides of the body.",https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/symptoms-causes/syc-20367152
Bartholin's cyst,,,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976
Absence seizure,"Absence seizures involve brief, sudden lapses of consciousness. They're more common in children than in adults.
A person having an absence seizure may stare blankly into space for a few seconds. Then the person typically returns quickly to being alert. This type of seizure usually doesn't lead to physical injury. But injury can happen if someone is driving a car or riding a bike when the seizure happens.
Absence seizures usually can be managed with antiseizure medicines. Some children who have them also develop other seizures, such as generalized tonic-clonic seizures or myoclonic seizures. Many children outgrow absence seizures in their teens.","A simple absence seizure causes a vacant stare, which may be mistaken for a brief lapse in attention. The seizure lasts about 10 seconds, though it may last as long as 30 seconds. There's no confusion, headache or drowsiness after the seizure. | Symptoms of absence seizures include: | A sudden stop in activity without falling. | Lip smacking. | Eyelid flutters. | Chewing motions. | Finger rubbing. | Small movements of both hands. | Afterward, there's usually no memory of the incident. But if the seizure is longer, the person may be aware of missed time. Some people have many episodes daily. When it happens, it can interfere with school or daily activities. | A child may have absence seizures for some time before an adult notices them. This is because the seizures are so brief. A decline in a child's learning ability may be the first sign of the seizure disorder. Teachers may say the child has trouble paying attention or that a child is often daydreaming.",https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683
Acanthosis nigricans,,,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983
Achilles tendinitis,,,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020
Achilles tendon rupture,"Achilles (uh-KILL-eez) tendon rupture is an injury that affects the back of your lower leg. It mainly occurs in people playing recreational sports, but it can happen to anyone.
The Achilles tendon is a strong fibrous cord that connects the muscles in the back of your calf to your heel bone. If you overstretch your Achilles tendon, it can tear (rupture) completely or just partially.
If your Achilles tendon ruptures, you might hear a pop, followed by an immediate sharp pain in the back of your ankle and lower leg that is likely to affect your ability to walk properly. Surgery is often performed to repair the rupture. For many people, however, nonsurgical treatment works just as well.","Although it's possible to have no signs or symptoms with an Achilles tendon rupture, most people have: | The feeling of having been kicked in the calf | Pain, possibly severe, and swelling near the heel | An inability to bend the foot downward or ""push off"" the injured leg when walking | An inability to stand on the toes on the injured leg | A popping or snapping sound when the injury occurs",https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234
Gastroesophageal reflux disease (GERD),"Gastroesophageal reflux disease is a condition in which stomach acid repeatedly flows back up into the tube connecting the mouth and stomach, called the esophagus. It's often called GERD for short. This backwash is known as acid reflux, and it can irritate the lining of the esophagus.
Many people experience acid reflux now and then. However, when acid reflux happens repeatedly over time, it can cause GERD.
Most people can manage the discomfort of GERD with lifestyle changes and medicines. And though it's uncommon, some may need surgery to help with symptoms.","Common symptoms of GERD include: | A burning sensation in the chest, often called heartburn. Heartburn usually happens after eating and might be worse at night or while lying down. | Backwash of food or sour liquid in the throat. | Upper belly or chest pain. | Trouble swallowing, called dysphagia. | Sensation of a lump in the throat. | If you have nighttime acid reflux, you also might experience: | An ongoing cough. | Inflammation of the vocal cords, known as laryngitis. | New or worsening asthma.",https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940
Infant reflux,"Infant reflux is when a baby spits up liquid or food. It happens when stomach contents move back up from a baby's stomach into the esophagus. The esophagus is the muscular tube that connects the mouth to the stomach.
Reflux happens in infants many times a day. If your baby is content and growing well, reflux is not a cause for concern. Sometimes called gastroesophageal reflux, also called GER, the condition becomes less common as a baby gets older. It's unusual for infant reflux to continue after age 18 months.
Rarely, infant reflux leads to weight loss or growth that lags behind that of other children of the same age and sex. These symptoms may mean that your baby has a medical issue. This issue could be an allergy, a blockage in the digestive system or gastroesophageal reflux disease, also called GERD. GERD is a form of GER that causes serious health issues.","Most of the time, infant reflux isn't a cause for concern. It's not usual for stomach contents to have enough acid to irritate the throat or esophagus and cause symptoms.",https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408
